Product name,Prices,Description,Review,Brand
"realme 16 Pro+ 5G (Master Gold, 256 GB)",46999,8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display200MP + 50MP + 8MP | 50MP Front Camera7000 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.5,realme
"IQOO Neo 10 (Asphalt Black, 256 GB)",40499,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ E3 Super AMOLED Display50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera7000 mAh BatteryQualcomm ProcessorDomestic warranty 1 year for handset and 6 months for accessories,4.4,IQOO
"Nothing Phone (4a) Pro (Black, 128 GB)",44999,8 GB RAM | 128 GB ROM17.35 cm (6.83 inch) Full HD+ AMOLED Display50MP + 50MP + 8MP | 32MP Front Camera5400 mAh Lithium ion BatterySnapdragon 7 Gen 4 Processor1 Year Manufacturing Warranty,4.4,Nothing
CYOR Flip Cover for VIVO X90 5G,288,"Suitable For: MobileMaterial: Artificial Leather, RubberTheme: No ThemeType: Flip Cover7 Days Replacement only",4.3,CYOR
CYOR Flip Cover for VIVO X90 5G,244,"Suitable For: MobileMaterial: Artificial Leather, RubberTheme: No ThemeType: Flip CoverWarranty Of The Product Is Limited To Manufacturing Defects Only",4.4,CYOR
"Samsung Galaxy A56 5G (Awesome Graphite, 256 GB)",46999,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsung Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3,Samsung
"Samsung Galaxy A56 5G (Awesome Olive, 128 GB)",42999,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsng Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3,Samsung
"OPPO Reno15c 5G (Twilight Blue, 256 GB)",44999,12 GB RAM | 256 GB ROM16.69 cm (6.57 inch) Full HD+ Display50MP + 8MP + 2MP | Yes7000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5,OPPO
"vivo V70 FE (Monsoon Blue, 256 GB)",44999,12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Full HD+ AMOLED Display200MP + 8MP | 50MP Front Camera7000 mAh Li-ion BatteryDimensity 7360-Turbo Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5,vivo
"Samsung Galaxy A55 5G (Awesome Navy, 256 GB)",48490,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatterySamsung Exynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3,Samsung
